Kota/Kabupaten,total_pembayaran,order_count,avg_shipping_cost,wilayah_clean,KODE_KK,KODE_PROV,KAB_KOTA,PROVINSI,FID,lat,lon
KAB. KARIMUN,295469.0,7,37714.28571428572,karimun,21.02,21,Karimun,Kepulauan Riau,21.02,0.8255340471954827,103.53107348423735
KAB. KARO,97800.0,2,47950.0,karo,12.06,12,Karo,Sumatera Utara,12.06,3.1184351053883574,98.30135635169061
KAB. KATINGAN,349194.0,4,52025.0,katingan,62.06,62,Katingan,Kalimantan Tengah,62.06,-1.6858743276039967,113.07082915072586
KAB. KAUR,759398.0,6,39466.666666666664,kaur,17.04,17,Kaur,Bengkulu,17.04,-4.61113829692257,103.41232466184304
KAB. KAYONG UTARA,345718.0,5,32980.0,kayong utara,61.11,61,Kayong Utara,Kalimantan Barat,61.11,-1.104431734481202,109.87536018917464
KAB. KEBUMEN,4216211.0,54,21625.925925925927,kebumen,33.05,33,Kebumen,Jawa Tengah,33.05,-7.654964269918221,109.61735310996292
KAB. KEDIRI,2320924.0,50,16506.0,kediri,35.06,35,Kediri,Jawa Timur,35.06,-7.828693403692295,112.08922074796372
KAB. KEDIRI,2320924.0,50,16506.0,kediri,35.71,35,Kota Kediri,Jawa Timur,35.71,-7.826370090119876,112.01612339930358
KAB. KENDAL,2507564.0,40,16132.5,kendal,33.24,33,Kendal,Jawa Tengah,33.24,-7.038694558171205,110.15733769393778
KAB. KEPAHIANG,98560.0,3,21633.333333333332,kepahiang,17.08,17,Kepahiang,Bengkulu,17.08,-3.6289348292591685,102.64445099754032
KAB. KEPULAUAN ANAMBAS,350536.0,7,46571.42857142857,kepulauan anambas,21.05,21,Kepulauan Anambas,Kepulauan Riau,21.05,3.087638768309997,106.06455055407247
KAB. KEPULAUAN MENTAWAI,136538.0,3,42300.0,kepulauan mentawai,13.09,13,Kepulauan Mentawai,Sumatera Barat,13.09,-1.8490641165196628,99.33662594810777
KAB. KEPULAUAN MERANTI,142145.0,5,21460.0,kepulauan meranti,14.10,14,Kepulauan Meranti,Riau,14.10,1.003260429872542,102.64933988384794
KAB. KEPULAUAN TALAUD,166380.0,5,44800.0,kepulauan talaud,71.04,71,Kepulauan Talaud,Sulawesi Utara,71.04,4.225723242104328,126.78107586641285
KAB. KERINCI,848806.0,13,48707.692307692305,kerinci,15.01,15,Kerinci,Jambi,15.01,-2.032316650844068,101.4653245444441
KAB. KETAPANG,1614704.0,32,42734.375,ketapang,61.04,61,Ketapang,Kalimantan Barat,61.04,-1.6329362773457177,110.60543693030492
