Kota/Kabupaten,total_pembayaran,order_count,avg_shipping_cost,wilayah_clean,KODE_KK,KODE_PROV,KAB_KOTA,PROVINSI,FID,lat,lon
KOTA GORONTALO,444636.0,12,30516.666666666668,gorontalo,75.71,75,Kota Gorontalo,Gorontalo,75.71,0.5384085410485823,123.05530113287764
KOTA GUNUNGSITOLI,284536.0,4,44650.0,gunungsitoli,12.78,12,Kota Gunungsitoli,Sumatera Utara,12.78,1.268529012028898,97.58668478033347
KOTA JAMBI,5060723.0,105,26796.380952380954,jambi,15.71,15,Kota Jambi,Jambi,15.71,-1.6181774220397565,103.59978913896097
KOTA KEDIRI,660637.0,18,14811.111111111111,kediri,35.06,35,Kediri,Jawa Timur,35.06,-7.828693403692295,112.08922074796372
KOTA KEDIRI,660637.0,18,14811.111111111111,kediri,35.71,35,Kota Kediri,Jawa Timur,35.71,-7.826370090119876,112.01612339930358
KOTA KENDARI,2359739.0,16,88031.25,kendari,74.71,74,Kota Kendari,Sulawesi Tenggara,74.71,-3.9977076884850407,122.53288120475624
KOTA KOTAMOBAGU,45200.0,1,42500.0,kotamobagu,71.74,71,Kota Kotamobagu,Sulawesi Utara,71.74,0.7110773575201874,124.31830775995971
KOTA KUPANG,662945.0,11,41954.545454545456,kupang,53.01,53,Kupang,Nusa Tenggara Timur,53.01,-9.916086216770193,123.8614504441488
KOTA KUPANG,662945.0,11,41954.545454545456,kupang,53.71,53,Kota Kupang,Nusa Tenggara Timur,53.71,-10.204506383995797,123.60454402767822
KOTA LANGSA,0.0,1,35400.0,langsa,11.74,11,Kota Langsa,Aceh,11.74,4.481819463793941,97.98059606204869
KOTA LHOKSEUMAWE,327728.0,10,38810.0,lhokseumawe,11.73,11,Kota Lhokseumawe,Aceh,11.73,5.165255725452153,97.11068016648125
KOTA LUBUK LINGGAU,781443.0,13,29923.076923076922,lubuk linggau,16.73,16,Kota Lubuk Linggau,Sumatera Selatan,16.73,-3.2630018671355945,102.87510965349607
KOTA MADIUN,319476.0,10,14450.0,madiun,35.19,35,Madiun,Jawa Timur,35.19,-7.623615892934244,111.64585875829627
KOTA MADIUN,319476.0,10,14450.0,madiun,35.77,35,Kota Madiun,Jawa Timur,35.77,-7.6294540613265,111.52726721364904
KOTA MAGELANG,226563.0,12,11666.666666666666,magelang,33.71,33,Kota Magelang,Jawa Tengah,33.71,-7.4765545104057125,110.22011139742136
KOTA MAGELANG,226563.0,12,11666.666666666666,magelang,33.08,33,Magelang,Jawa Tengah,33.08,-7.501736891109967,110.24721339288699
KOTA MAKASSAR,3369464.0,36,47130.555555555555,makassar,73.71,73,Kota Makassar,Sulawesi Selatan,73.71,-5.135610238808555,119.4638998193256
KOTA MALANG,8700557.0,60,23390.0,malang,35.07,35,Malang,Jawa Timur,35.07,-8.125914498560155,112.6409074124253
KOTA MALANG,8700557.0,60,23390.0,malang,35.73,35,Kota Malang,Jawa Timur,35.73,-7.978300291727217,112.63590685470416
KOTA MANADO,1490826.0,12,73275.0,manado,71.71,71,Kota Manado,Sulawesi Utara,71.71,1.524920888521502,124.84790009539402
KOTA MATARAM,6085126.0,14,48329.642857142855,mataram,52.71,52,Kota Mataram,Nusa Tenggara Barat,52.71,-8.590154382234527,116.11095859048294
KOTA MEDAN,5513488.0,87,35858.620689655174,medan,12.71,12,Kota Medan,Sumatera Utara,12.71,3.6290409245026023,98.66719592216495
KOTA METRO,346756.0,8,20125.0,metro,18.72,18,Kota Metro,Lampung,18.72,-5.1172951697225155,105.3079582789977
KOTA MOJOKERTO,98953.0,4,13500.0,mojokerto,35.16,35,Mojokerto,Jawa Timur,35.16,-7.550691753478534,112.48443825625331
KOTA MOJOKERTO,98953.0,4,13500.0,mojokerto,35.76,35,Kota Mojokerto,Jawa Timur,35.76,-7.471389237201706,112.43750790627276
KOTA PADANG,4098933.0,105,24547.628571428573,padang,13.71,13,Kota Padang,Sumatera Barat,13.71,-0.8988718499673032,100.43764367052391
KOTA PADANG SIDEMPUAN,17500.0,2,25750.0,padang sidempuan,12.77,12,Kota Padang Sidempuan,Sumatera Utara,12.77,1.390814978633883,99.2856939997518
KOTA PAGAR ALAM,234056.0,4,30050.0,pagar alam,16.72,16,Kota Pagar Alam,Sumatera Selatan,16.72,-4.117601764860108,103.2663871083492
KOTA PALEMBANG,25378904.0,289,31734.529411764706,palembang,16.71,16,Kota Palembang,Sumatera Selatan,16.71,-2.971717322847925,104.74132500384182
KOTA PALOPO,479596.0,7,36985.71428571428,palopo,73.73,73,Kota Palopo,Sulawesi Selatan,73.73,-2.979706948498607,120.14776633594485
KOTA PALU,135802.0,4,37400.0,palu,72.71,72,Kota Palu,Sulawesi Tengah,72.71,-0.836931813739612,119.91196584312789
KOTA PANGKAL PINANG,2071789.0,41,26894.951219512193,pangkal pinang,19.71,19,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71,-2.1105131488291873,106.11321019907581
KOTA PARIAMAN,152160.0,4,27375.0,pariaman,13.77,13,Kota Pariaman,Sumatera Barat,13.77,-0.6085969536982037,100.13810074978439
KOTA PASURUAN,172900.0,11,14454.545454545454,pasuruan,35.75,35,Kota Pasuruan,Jawa Timur,35.75,-7.649572436724351,112.9100046421644
KOTA PASURUAN,172900.0,11,14454.545454545454,pasuruan,35.14,35,Pasuruan,Jawa Timur,35.14,-7.742430912509359,112.83184410169154
KOTA PAYAKUMBUH,618512.0,5,47080.0,payakumbuh,13.76,13,Kota Payakumbuh,Sumatera Barat,13.76,-0.22698536472399697,100.6321179697018
KOTA PEKALONGAN,6759732.0,29,41135.55172413793,pekalongan,33.75,33,Kota Pekalongan,Jawa Tengah,33.75,-6.89340868223896,109.67715508608772
KOTA PEKALONGAN,6759732.0,29,41135.55172413793,pekalongan,33.26,33,Pekalongan,Jawa Tengah,33.26,-7.057005515868323,109.62050061295855
KOTA PEKANBARU,3518868.0,97,25863.917525773195,pekanbaru,14.71,14,Kota Pekanbaru,Riau,14.71,0.5512765526735323,101.46572629459607
KOTA PONTIANAK,2376699.0,35,45105.71428571428,pontianak,61.71,61,Kota Pontianak,Kalimantan Barat,61.71,-0.025780638412396716,109.33169746904854
KOTA PRABUMULIH,430651.0,10,15460.0,prabumulih,16.74,16,Kota Prabumulih,Sumatera Selatan,16.74,-3.447960454741642,104.22887565637345
KOTA PROBOLINGGO,577980.0,12,29583.333333333332,probolinggo,35.74,35,Kota Probolinggo,Jawa Timur,35.74,-7.773810528649351,113.20546894160476
KOTA PROBOLINGGO,577980.0,12,29583.333333333332,probolinggo,35.13,35,Probolinggo,Jawa Timur,35.13,-7.866411109818226,113.32023406482635
KOTA SABANG,64096.0,1,22000.0,sabang,11.72,11,Kota Sabang,Aceh,11.72,5.83776067481267,95.30571981820891
KOTA SALATIGA,1245410.0,21,13095.238095238095,salatiga,33.73,33,Kota Salatiga,Jawa Tengah,33.73,-7.337677561583602,110.49837382371106
KOTA SAMARINDA,1812848.0,14,59415.142857142855,samarinda,64.72,64,Kota Samarinda,Kalimantan Timur,64.72,-0.5002797263828089,117.1770634540904
KOTA SEMARANG,6201783.0,145,16239.310344827587,semarang,33.22,33,Semarang,Jawa Tengah,33.22,-7.2708990936455935,110.47350771475793
KOTA SEMARANG,6201783.0,145,16239.310344827587,semarang,33.74,33,Kota Semarang,Jawa Tengah,33.74,-7.023898605371644,110.39152263164601
KOTA SERANG,7946327.0,161,11062.118012422361,serang,36.04,36,Serang,Banten,36.04,-6.14173811781962,106.14607560844507
KOTA SERANG,7946327.0,161,11062.118012422361,serang,36.73,36,Kota Serang,Banten,36.73,-6.123323587632104,106.166750570897
KOTA SIBOLGA,16900.0,2,43500.0,sibolga,12.73,12,Kota Sibolga,Sumatera Utara,12.73,1.7425497687494547,98.78930427529805
KOTA SINGKAWANG,748044.0,14,37864.28571428572,singkawang,61.72,61,Kota Singkawang,Kalimantan Barat,61.72,0.8866504290887525,109.03227743446354
KOTA SOLOK,49600.0,3,25466.666666666668,solok,13.72,13,Kota Solok,Sumatera Barat,13.72,-0.7828670008157551,100.62986603667574
KOTA SOLOK,49600.0,3,25466.666666666668,solok,13.02,13,Solok,Sumatera Barat,13.02,-0.9835702519764626,100.84128447570609
KOTA SORONG,145000.0,1,123000.0,sorong,92.71,92,Kota Sorong,Papua Barat Daya,92.71,-0.866623620420947,131.3178113664409
KOTA SORONG,145000.0,1,123000.0,sorong,92.01,92,Sorong,Papua Barat Daya,92.01,-1.1231159969992917,131.55668888947636
KOTA SUKABUMI,9349715.0,95,13807.38947368421,sukabumi,32.02,32,Sukabumi,Jawa Barat,32.02,-7.076318269660438,106.70756920024003
KOTA SUKABUMI,9349715.0,95,13807.38947368421,sukabumi,32.72,32,Kota Sukabumi,Jawa Barat,32.72,-6.939938819985031,106.92435699624795
KOTA SURABAYA,9578850.0,173,16954.913294797687,surabaya,35.78,35,Kota Surabaya,Jawa Timur,35.78,-7.274322819016461,112.723584124473
KOTA TANGERANG,36767795.0,872,13045.308486238531,tangerang,36.71,36,Kota Tangerang,Banten,36.71,-6.18437110906753,106.65199394460666
KOTA TANGERANG,36767795.0,872,13045.308486238531,tangerang,36.03,36,Tangerang,Banten,36.03,-6.1744645987129605,106.51892886778404
KOTA TANGERANG SELATAN,31149751.0,707,12462.868458274399,tangerang selatan,36.74,36,Kota Tangerang Selatan,Banten,36.74,-6.302120075984021,106.70738498598404
KOTA TANJUNG PINANG,492800.0,12,43533.416666666664,tanjung pinang,21.72,21,Kota Tanjung Pinang,Kepulauan Riau,21.72,0.9195814669956565,104.48706427375765
KOTA TARAKAN,652514.0,7,49300.0,tarakan,65.71,65,Kota Tarakan,Kalimantan Utara,65.71,3.3594054660999224,117.5995114561937
KOTA TASIKMALAYA,1791632.0,85,11902.35294117647,tasikmalaya,32.78,32,Kota Tasikmalaya,Jawa Barat,32.78,-7.3605265931451225,108.21912255643048
KOTA TASIKMALAYA,1791632.0,85,11902.35294117647,tasikmalaya,32.06,32,Tasikmalaya,Jawa Barat,32.06,-7.496735850654323,108.14156672107875
KOTA TEBING TINGGI,212665.0,4,44547.5,tebing tinggi,12.76,12,Kota Tebing Tinggi,Sumatera Utara,12.76,3.328269801903276,99.15603085463106
KOTA TEGAL,352414.0,16,15300.0,tegal,33.76,33,Kota Tegal,Jawa Tengah,33.76,-6.869174558926782,109.11574708742408
KOTA TEGAL,352414.0,16,15300.0,tegal,33.28,33,Tegal,Jawa Tengah,33.28,-7.028775498368181,109.15851536344728
KOTA TERNATE,383596.0,5,50660.0,ternate,82.71,82,Kota Ternate,Maluku Utara,82.71,0.8384805548401971,127.17252685944045
KOTA YOGYAKARTA,917409.0,18,16194.444444444445,yogyakarta,34.71,34,Kota Yogyakarta,Daerah Istimewa Yogyakarta,34.71,-7.803297519298703,110.37435793499371
